951216727450378243_0;0;Wed Jan 10 22:18:35 +0000 2018;If what you are insuniating is true, then this is worse then I ever imagined. Consider that Florida will be under water because of #climatechange and wonder why @realDonaldTrump does not embrace the inevitable, if noaction is taken NOW. And #POTUS can save his properties, if .... https://t.co/OxF41kkm4E;If what you are insuniating is true then this is worse then I ever imagined;what you are insuniating is true;this is worse
951243816098549761_0;16;Thu Jan 11 00:06:13 +0000 2018;If you think Global Warming is a Liberal hoax, then explain Hurricane Tortillah https://t.co/SD5aODCfKm;If you think Global Warming is a Liberal hoax then explain Hurricane Tortillah httpstcoSD5aODCfKm;you think Global Warming is a Liberal hoax;explain Hurricane Tortillah httpstcoSD5aODCfKm
951245111907835904_0;16;Thu Jan 11 00:11:22 +0000 2018;RT @AuntyCherryChan: If you think Global Warming is a Liberal hoax, then explain Hurricane Tortillah https://t.co/SD5aODCfKm;RT AuntyCherryChan If you think Global Warming is a Liberal hoax then explain Hurricane Tortillah httpstcoSD5aODCfKm;you think Global Warming is a Liberal hoax;explain Hurricane Tortillah httpstcoSD5aODCfKm
951247274037755904_0;16;Thu Jan 11 00:19:58 +0000 2018;RT @AuntyCherryChan: If you think Global Warming is a Liberal hoax, then explain Hurricane Tortillah https://t.co/SD5aODCfKm;RT AuntyCherryChan If you think Global Warming is a Liberal hoax then explain Hurricane Tortillah httpstcoSD5aODCfKm;you think Global Warming is a Liberal hoax;explain Hurricane Tortillah httpstcoSD5aODCfKm
951248414909530112_0;16;Thu Jan 11 00:24:30 +0000 2018;RT @AuntyCherryChan: If you think Global Warming is a Liberal hoax, then explain Hurricane Tortillah https://t.co/SD5aODCfKm;RT AuntyCherryChan If you think Global Warming is a Liberal hoax then explain Hurricane Tortillah httpstcoSD5aODCfKm;you think Global Warming is a Liberal hoax;explain Hurricane Tortillah httpstcoSD5aODCfKm
951250416813064192_0;16;Thu Jan 11 00:32:27 +0000 2018;RT @AuntyCherryChan: If you think Global Warming is a Liberal hoax, then explain Hurricane Tortillah https://t.co/SD5aODCfKm;RT AuntyCherryChan If you think Global Warming is a Liberal hoax then explain Hurricane Tortillah httpstcoSD5aODCfKm;you think Global Warming is a Liberal hoax;explain Hurricane Tortillah httpstcoSD5aODCfKm
951256286825361408_0;0;Thu Jan 11 00:55:46 +0000 2018;@jaketapper @Rene_MarshCNN If there is no climate change then Florida should have offshore drilling. I don’t see why governor would complain ...;jaketapper ReneMarshCNN If there is no climate change then Florida should have offshore drilling;there is no climate change;Florida should have offshore drilling
951267256276848640_0;16;Thu Jan 11 01:39:22 +0000 2018;RT @AuntyCherryChan: If you think Global Warming is a Liberal hoax, then explain Hurricane Tortillah https://t.co/SD5aODCfKm;RT AuntyCherryChan If you think Global Warming is a Liberal hoax then explain Hurricane Tortillah httpstcoSD5aODCfKm;you think Global Warming is a Liberal hoax;explain Hurricane Tortillah httpstcoSD5aODCfKm
951268100967751680_1;1;Thu Jan 11 01:42:43 +0000 2018;Before I go, let me leave on a positive note.If we don't stop capitalism, climate change will kill us all. If we do stop it, then climate change has less likelihood to kill us but it's most likely too late.Hurray fighting for a slim chance!;If we do stop it then climate change has less likelihood to kill us but its most likely too lateHurray fighting for a slim chance;we do stop it;climate change has less likelihood to kill us but its most likely too lateHurray fighting for a slim chance
951270441913483264_0;0;Thu Jan 11 01:52:01 +0000 2018;@manujarvinen If we don't need to work (nearly all work is automated) then we can do anything we want to. Many challenges would still exist: cleaning up the pollution, reversing global warming, helping people heal from abuse by war &amp; the monetary system (such as lack of food, houses, &amp; water);manujarvinen If we dont need to work nearly all work is automated then we can do anything we want to;we dont need to work nearly all work is automated;we can do anything we want to
