twitter_id,Content
1674744295452991489,@GrantSana Your first pronouncement is most likely untrue &amp; I'm not sure if you're arguing for or against lockdown/restrictions by telling us your nephew was hospitalised despite lockdown/restrictions. https://t.co/0b3FNi8Huq
1674744012878807041,"@taipan168 @katea76 Sorry ‘taipan168’ but Kate is absolutely correct.

If Corrupt Gladys had locked down harder and earlier with a Victorian-style lockdown, then Victoria’s hard &amp; early Victorian-style lockdown wouldn’t have failed.

Pretty simple."
1674743723140214786,The only way we've got to 26 is if we've included some of the cardboard cutouts from lockdown. https://t.co/HBs2BsNvER
1674742386822397955,My guess is that the French authorities will allow the unrest to run for a while until citizens are genuinely frightened for their lives. They will be begging for lockdown before too long if this continues. Job done.
1674742343147331584,"The way i am currently obsessed over this car. Him. Lockdown. Omg. When i tell u he's HOT i mean it.
And he got a big ass g.u.n right on his face. Perfect position to put in my valve *if u catch my drift* https://t.co/8SigtqLU8p"
1674740215242432512,HELLO STRANGER???????? no cuz if they perform this i will actually pass away
1674739853341106176,@michaelmiraflor Post lockdown I’m finding basic executive function difficult. I’ve got no problem tackling big painful tasks but simple “paying a bill” executions are suddenly impossible. Wondering if the pause of that time left a stamp of “wait and it will change” procrastination as well.
1674739098882277376,"@SAfricanAbroad @Arfness Thanks, Reggie, but what they stand for has been seen in their finger pointing, their attacks on homeless people, their violence against the poor during lockdown and their constant hypocrisy and more. The document means nothing if not lived out."
1674736699383873540,So if you put a tweet out saying lockdown was disaster you get attacked by (a)hardcore lockdownwers who say ‘so you wanted more people to die’ &amp; (b) fundamentalist ‘anti-lockdowners’ who say back on March 21 2020 you weren’t opposed to lockdown. In other words there must be total
1674736223670116352,"people say Bernard Jenkins was biased because he went to a Lockdown party as well...
1. Is there any evidence? if so, let's see it.
2. If he didn't understand the rules either, wouldn't that make him more sympathetic to BloJo, not less?"
1674734201470427136,@Samfahh1 I'm not so sure the public would respond as favourably if they tried another 'pandemic' or lockdown 😬 they've got some mountain to climb with the mess they're in 🤔
1674734016535175169,"@KayBurley Casting aspersions? You had better have either strong evidence to support your smear or deep pockets for the defamation claim.
You leftist snout troughers are short sighted, if you are a liberal you should worry, one day they will come for you like when you broke lockdown rules."
1674732994228293632,"@Janz_MainPopBoy @stillwjungkook @Ziakolt @GeffenRecords @HYBEOFFICIALtwt @BIGHIT_MUSIC @bts_bighit @BTS_twt To: @bts_bighit , @GeffenRecords 

@BTS_twt #Jungkook 'SEVEN' Single CD is sold out on BTS US Store. We will appreciate it if you could re-stock it as soon as possible. Please do consider also opening pre-orders to US local stores.

BIGHIT RESTOCK SEVEN"
